j_gene,v_gene,cdr3_length,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147
,,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97000297000297e-05,0.0002376002376002,0.0004752004752004,0.0009801009801009,0.0015444015444015,0.0029700029700029,0.0049599049599049,0.0078408078408078,0.0111375111375111,0.0169290169290169,0.0231660231660231,0.0312147312147312,0.0412533412533412,0.0535491535491535,0.067003267003267,0.0812889812889813,0.0984258984258984,0.1178497178497178,0.141015741015741,0.1726462726462726,0.2118503118503118,0.2597861597861597,0.3177606177606177,0.3876744876744877,0.4683100683100683,0.54995544995545,0.6363231363231363,0.7214434214434214,0.7947727947727947,0.858984258984259,0.9083754083754084,0.9435996435996435,0.9683397683397684,0.9827145827145828,0.9923076923076924,0.9964953964953964,0.9989010989010988,0.9995247995247996,0.9998217998218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0496924401150464e-05,3.149077320345139e-05,6.298154640690278e-05,0.0001994415636218,0.0004303739004471,0.0008607478008943,0.0016375202065794,0.002792181890706,0.0042722482312682,0.0063191484894925,0.009772636617471,0.013887430982722,0.0194927886129364,0.0258644217244347,0.0335796611592803,0.0428484454054961,0.0534293452018558,0.0653538513215627,0.0790733315138664,0.0941574118783196,0.1103646631536959,0.1301303718010623,0.154042365586883,0.1836961770201331,0.2211387063590368,0.2686057985010392,0.3260659626729368,0.3932987634623055,0.4683202821573279,0.5479394537400541,0.6284088761992737,0.7061281044653916,0.7804253353767346,0.8427245816975626,0.8932252849914974,0.931129679004052,0.959471374887158,0.9779354649087816,0.9889992232275944,0.995192408624273,0.998121050532194,0.999307202989524,0.999716583041169,0.9999160246047908,0.9999895030755988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.516016368233117e-06,1.954804910469935e-05,5.864414731409805e-05,0.0001335783355487,0.0002443506138087,0.0004072510230145,0.0007884379805562,0.0012901712409101,0.0020786092214663,0.0032058800531706,0.0048153360961242,0.0072262621523705,0.0107123309093752,0.0152181562280084,0.0208186722965048,0.0276311674094925,0.0360237964917767,0.0453188938410613,0.0558520343003101,0.0677111840904944,0.0811244037845023,0.0953358354836187,0.1125609247530429,0.1327312534209086,0.1577690463158443,0.1888113482941069,0.2270701384001876,0.2736531394166862,0.3284723851226314,0.3937368050668543,0.4654944353220215,0.5432598326686997,0.6219798264133239,0.699741965751818,0.7703104230197826,0.8327403758438241,0.8841615190137357,0.9245054343576512,0.9533941929262126,0.972828211744468,0.9852770610159772,0.9926075794302396,0.9965562853493888,0.9985143482680428,0.999413558526859,0.9997947454844006,0.99994461386087,0.9999934839836316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163197335553705e-06,8.32639467110741e-06,1.1101859561476547e-05,2.220371912295309e-05,4.8570635581459896e-05,9.297807382736609e-05,0.0001790174854288,0.0003524840410768,0.0006730502359145,0.0011698584512905,0.0019303358312517,0.0030016652789342,0.0045170691090757,0.0066597280044407,0.0094684984734943,0.0131459894532334,0.0178892589508742,0.0236178184845961,0.0304732167638079,0.0386372467388287,0.0480169303358312,0.0587621426588953,0.0705786844296419,0.0837427144046627,0.0983541493200111,0.1152914238134887,0.1347432694976408,0.1586969192339717,0.1889203441576464,0.2266708298640022,0.2727810158201498,0.3281182348043297,0.3921967804607271,0.4639106300305301,0.5414168748265334,0.6207021926172633,0.6977560366361365,0.7691007493755204,0.8312836525117957,0.8831876214265889,0.9234471273938384,0.952729669719678,0.9726963641409936,0.9852345267832362,0.9926200388565084,0.9965917291146268,0.9985387177352206,0.9994102137107964,0.9998112683874548,0.9999347765750763,0.9999805717457674,0.9999972245351096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.740802007141206e-07,2.0222406021423617e-06,5.3926416057129645e-06,1.2133443612854173e-05,2.494096742642246e-05,5.055601505355904e-05,0.0001159417945228,0.0002217723860349,0.0004057962808299,0.0007226139751655,0.0012194110830918,0.0020330258853537,0.0031540212591413,0.0047428282922245,0.0069868412804018,0.0100458172312425,0.0140127792124451,0.0191283738556646,0.0254033864441123,0.0329018545968562,0.0418165652513004,0.0518724936855537,0.0630709880600174,0.0754848490363686,0.0887716438726446,0.103517148263266,0.1201622106594998,0.1395514535528408,0.1626825156403458,0.1917111054038987,0.2274373560417471,0.2710341671031336,0.3233097607487143,0.3841387580611566,0.452963020634269,0.5272156510637322,0.6044679383863734,0.6810670419945224,0.7532246311601661,0.8172568575864019,0.8710558724855966,0.9139482697372368,0.9456509356570226,0.9677135806263958,0.9819932955983236,0.9906080405634502,0.9955328705098676,0.9980323598941154,0.9992025631225552,0.99970744919289,0.9999015842906958,0.9999676441503658,0.9999946073583944,0.9999993259197992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5382536524507893e-07,3.5382536524507893e-07,3.5382536524507893e-07,4.245904382940947e-06,9.90711022686221e-06,1.8752744357989183e-05,4.0336091637939e-05,8.597956375455417e-05,0.0001783279840835,0.0003301190657736,0.0005915960106897,0.0010066331641222,0.0016463494244853,0.0026289224637709,0.0040187484984536,0.0060596132051872,0.0087493936317803,0.0123566432304538,0.0168909152860695,0.0224884325642467,0.0295072663346133,0.037617651356761,0.0468857529739906,0.0570872459047367,0.0684903297758551,0.0808441424033871,0.0943064899002318,0.1092191675692162,0.1264228644781624,0.1468173585308888,0.1715929182560797,0.2019500731180117,0.2392860794840377,0.2845874024724609,0.3382213128124057,0.4000639716260363,0.4687099845625993,0.5422076509074029,0.61796272308247,0.6925215116976435,0.7619792000220788,0.8239750652188604,0.8761480306257083,0.91702936715149,0.9475726341555408,0.9687140535542996,0.9825118274973969,0.9908861662420172,0.9955343700652418,0.9979633811976494,0.9991186210151743,0.9996532511420598,0.99987722259826,0.9999575409561706,0.9999858469853902,0.9999946926195212,0.9999989385239044,0.9999996461746348,0.9999996461746348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.961083859671899e-07,1.961083859671899e-07,3.922167719343798e-07,1.764975473704709e-06,3.529950947409418e-06,6.863793508851646e-06,1.3335370245768913e-05,2.9220149509111293e-05,5.8636407404189776e-05,0.0001170767064224,0.0002137581407042,0.0003924128803203,0.0006797116657622,0.001117229474855,0.0017694859665819,0.002719042771435,0.0041184722136969,0.0060334706026665,0.0086183752381,0.0120090892314728,0.0163166099292421,0.0217121399523574,0.0283217769929955,0.0361586603130164,0.0451770966584896,0.055425132583977,0.0667949084771968,0.0792707356672715,0.0930724516548704,0.1084651949778211,0.1261053404039558,0.14656983880479,0.1710941730119169,0.2008000829930689,0.2371168066651749,0.2807093475650496,0.3320913135555411,0.3911630815765781,0.45698274305036,0.5275747020966536,0.6004850544818513,0.6731355632556424,0.7418397829786157,0.8039484854647406,0.8573323258591852,0.9008803501554452,0.9345972649547842,0.959122971920613,0.9759378932585976,0.986706793057214,0.993138755900166,0.9967147923182776,0.9985635060727904,0.9994093215414668,0.9997770247651552,0.9999241060546308,0.999976074776912,0.999994116748421,0.99999901945807,0.999999607783228,0.999999803891614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1206741975972745e-07,1.1206741975972745e-07,4.482696790389098e-07,6.724045185583647e-07,1.681011296395912e-06,2.3534158149542764e-06,4.370629370629371e-06,8.85332616101847e-06,1.7370450062757754e-05,2.880132687824996e-05,5.401649632418863e-05,9.929173390711852e-05,0.0001819974896897,0.0003128922359691,0.0005325443786982,0.0008877980993365,0.001423032096109,0.0022294692487,0.003364712210866,0.0049557333691949,0.0071236776044468,0.0099728796844181,0.0136907163349471,0.0183646001434462,0.02415108929532,0.0311081226465841,0.0392193383539537,0.0484559350905504,0.0589200062757755,0.0703871929352698,0.0829814416352877,0.0968371212121212,0.1123143042854581,0.1298295454545454,0.15027983234714,0.1747605119239734,0.2043620001793078,0.240346064192218,0.2833061009503317,0.3341043571812802,0.3922855029585799,0.4572660032275417,0.5270982383001613,0.5993563968083199,0.6714042047695894,0.7398898377263762,0.8020467993544916,0.8555621301775148,0.8994847140039448,0.9335669939035324,0.9583917204590282,0.97546171776941,0.9863830240272548,0.992866124260355,0.9965314012910168,0.9984549264837728,0.9993532589205666,0.9997507620584544,0.9999199838622916,0.9999763537744308,0.9999940604267528,0.999999103460642,0.9999997758651604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.277412513957787e-08,3.310965005583115e-07,1.324386002233246e-06,2.897094379885225e-06,5.46309225921214e-06,1.1340055144122168e-05,1.9120822907242487e-05,3.2944101805551993e-05,5.61208568446338e-05,9.485914740995624e-05,0.0001616578663975,0.0002696780997047,0.0004365507359861,0.0007090431559456,0.0011265558431496,0.0017205429651512,0.002602252946138,0.0038404710841009,0.0055457836102265,0.0078111458670465,0.0108481285184176,0.0147194743511957,0.0195597740928576,0.0254509741272917,0.0325059783611882,0.0407121223534008,0.0501007774973574,0.0605698005226358,0.072102636604208,0.0847148472776004,0.0986693231642561,0.1142833374858352,0.132109738624145,0.1529903394318549,0.1778195143310981,0.2075574431734937,0.243399301551932,0.2860381572162068,0.3358466592776964,0.3927817651913282,0.4560588590249042,0.5240111182204887,0.5945604983664526,0.665027683806153,0.7322748730037985,0.7938533590153852,0.8474564752956485,0.8918176121817024,0.9267936532111808,0.9528158515760607,0.9711542106783588,0.9832341009529784,0.9908296202240364,0.9952511656666172,0.9976932506806102,0.9989582048609932,0.999555834044501,0.9998236911134528,0.9999344428928896,0.9999793892428402,0.9999927158769876,0.9999977650986211,0.999999420581124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7718588519622695e-08,1.1543717703924542e-07,2.8859294259811336e-07,6.349044737158494e-07,9.812160048335855e-07,1.616120478549435e-06,2.7704922489418886e-06,5.887296029001513e-06,1.0273908756492837e-05,1.7315576555886803e-05,3.001366603020379e-05,5.131182519394456e-05,8.790541031538534e-05,0.0001439501597679,0.0002331253790307,0.000375113106789,0.0005916732509146,0.0009225739188976,0.0014074677810509,0.00211515539489,0.0031210172370215,0.0045057438941958,0.0064000679694098,0.0088888357877874,0.0121077437509382,0.0161950855969553,0.0212400365451015,0.027367037872225,0.0345626411472008,0.0428862387976156,0.0523092601221521,0.0627745059995875,0.0743545864142794,0.0869219432855994,0.1007412740604986,0.1161954838552161,0.1337404340818799,0.1541549793739738,0.1783683312880751,0.2073547795983952,0.2422660410202545,0.283913523471062,0.3326853267400235,0.3884754217800286,0.4506702599951135,0.517622956899048,0.5875532980661213,0.6575889179386545,0.7248703799227968,0.7868548338827277,0.8413348324005143,0.8867253653168193,0.9226432966410494,0.9497156811188816,0.9689307187043608,0.9818060042454332,0.9899297224238044,0.9947265988784932,0.9974059534761626,0.9988154991264004,0.999486708592295,0.9997913473025016,0.9999216758753788,0.9999737380422236,0.9999908227444254,0.9999968254776316,0.9999986147538756,0.999999769125646,0.999999884562823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5962417634198544e-08,9.192483526839709e-08,2.7577450580519124e-07,9.192483526839708e-07,1.8384967053679417e-06,3.814880663638479e-06,6.94032506276398e-06,1.2134078255428414e-05,2.036135101194995e-05,3.557491124886967e-05,5.66716609429668e-05,9.013230098066334e-05,0.0001450573900535,0.0002239288987138,0.000349544186108,0.0005315553599395,0.0007928057417722,0.0011735584094539,0.0017228093001826,0.0024896462759916,0.0035591917343394,0.0049974477069487,0.0069283288717614,0.0094198136444584,0.01260556073552,0.0166223083374079,0.0215419876337196,0.0274736214790834,0.0344756740687301,0.042588684255013,0.0517312066338844,0.0619308646183423,0.073170284414521,0.085581102386525,0.0992443962390608,0.1145286466743019,0.1320998950861855,0.1524492958695505,0.1766206095664521,0.2056780499947924,0.2404423680462654,0.2818056023223155,0.3302270552623613,0.3855114325538751,0.4469908543062143,0.5132730729268214,0.5822543425981617,0.6513562636157917,0.717999333177245,0.7793993778343299,0.8336200468945355,0.8793602822018903,0.91607910610084,0.944156260085878,0.964538202260928,0.978550167013637,0.9876689727850092,0.9933174781377464,0.9965828321361504,0.9983568895319952,0.9992604647002656,0.9996926952756976,0.9998827958350328,0.9999588636362174,0.9999858895377864,0.999996736668348,0.9999993565261532,0.999999770187912,0.9999999540375824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
