l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147
57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97000297000297e-05,0.0002376002376002376,0.0004752004752004752,0.00098010098010098,0.0015444015444015444,0.00297000297000297,0.0049599049599049596,0.00784080784080784,0.011137511137511137,0.016929016929016927,0.023166023166023165,0.031214731214731214,0.04125334125334126,0.05354915354915355,0.067003267003267,0.0812889812889813,0.09842589842589843,0.11784971784971784,0.14101574101574102,0.17264627264627264,0.21185031185031186,0.25978615978615976,0.31776061776061776,0.3876744876744877,0.46831006831006833,0.54995544995545,0.6363231363231363,0.7214434214434214,0.7947727947727947,0.858984258984259,0.9083754083754084,0.9435996435996435,0.9683397683397683,0.9827145827145827,0.9923076923076923,0.9964953964953965,0.9989010989010989,0.9995247995247996,0.9998217998217999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0496924401150464e-05,3.149077320345139e-05,6.298154640690278e-05,0.00019944156362185878,0.000430373900447169,0.000860747800894338,0.0016375202065794722,0.002792181890706023,0.004272248231268238,0.0063191484894925785,0.00977263661747108,0.013887430982722063,0.01949278861293641,0.02586442172443474,0.03357966115928033,0.04284844540549619,0.053429345201855855,0.06535385132156278,0.07907333151386643,0.09415741187831965,0.11036466315369596,0.1301303718010623,0.15404236558688306,0.1836961770201331,0.2211387063590368,0.2686057985010392,0.3260659626729368,0.3932987634623055,0.4683202821573279,0.5479394537400541,0.6284088761992737,0.7061281044653916,0.7804253353767346,0.8427245816975626,0.8932252849914974,0.9311296790040519,0.9594713748871581,0.9779354649087817,0.9889992232275943,0.995192408624273,0.998121050532194,0.999307202989524,0.999716583041169,0.9999160246047908,0.9999895030755989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.516016368233117e-06,1.954804910469935e-05,5.864414731409805e-05,0.0001335783355487789,0.0002443506138087419,0.0004072510230145698,0.0007884379805562072,0.0012901712409101572,0.0020786092214663643,0.0032058800531706935,0.004815336096124273,0.007226262152370527,0.010712330909375244,0.015218156228008446,0.02081867229650481,0.027631167409492532,0.03602379649177679,0.04531889384106133,0.05585203430031016,0.06771118409049444,0.08112440378450231,0.09533583548361874,0.11256092475304298,0.1327312534209086,0.15776904631584435,0.18881134829410692,0.22707013840018767,0.27365313941668623,0.32847238512263144,0.3937368050668543,0.4654944353220215,0.5432598326686997,0.6219798264133239,0.699741965751818,0.7703104230197826,0.8327403758438241,0.8841615190137357,0.9245054343576511,0.9533941929262126,0.9728282117444679,0.9852770610159772,0.9926075794302396,0.9965562853493888,0.9985143482680429,0.999413558526859,0.9997947454844006,0.99994461386087,0.9999934839836317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163197335553705e-06,8.32639467110741e-06,1.1101859561476547e-05,2.2203719122953094e-05,4.8570635581459896e-05,9.297807382736609e-05,0.00017901748542880933,0.00035248404107688036,0.0006730502359145157,0.0011698584512905912,0.0019303358312517346,0.0030016652789342214,0.00451706910907577,0.006659728004440744,0.00946849847349431,0.013145989453233416,0.01788925895087427,0.02361781848459617,0.030473216763807938,0.038637246738828755,0.04801693033583125,0.058762142658895365,0.07057868442964196,0.08374271440466279,0.0983541493200111,0.11529142381348875,0.13474326949764084,0.1586969192339717,0.1889203441576464,0.22667082986400222,0.27278101582014985,0.3281182348043297,0.39219678046072715,0.4639106300305301,0.5414168748265334,0.6207021926172633,0.6977560366361365,0.7691007493755204,0.8312836525117957,0.8831876214265889,0.9234471273938385,0.9527296697196781,0.9726963641409936,0.9852345267832362,0.9926200388565085,0.9965917291146267,0.9985387177352206,0.9994102137107965,0.9998112683874549,0.9999347765750763,0.9999805717457674,0.9999972245351096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.740802007141206e-07,2.0222406021423617e-06,5.3926416057129645e-06,1.2133443612854171e-05,2.494096742642246e-05,5.055601505355904e-05,0.00011594179452282873,0.00022177238603494567,0.00040579628082990056,0.0007226139751655373,0.001219411083091844,0.0020330258853537876,0.00315402125914137,0.004742828292224552,0.006986841280401859,0.01004581723124254,0.014012779212445139,0.0191283738556646,0.025403386444112348,0.032901854596856225,0.04181656525130047,0.05187249368555372,0.0630709880600174,0.07548484903636865,0.08877164387264468,0.10351714826326607,0.12016221065949985,0.13955145355284082,0.16268251564034586,0.19171110540389874,0.22743735604174714,0.2710341671031336,0.32330976074871437,0.3841387580611566,0.452963020634269,0.5272156510637322,0.6044679383863734,0.6810670419945224,0.7532246311601661,0.8172568575864019,0.8710558724855966,0.9139482697372368,0.9456509356570226,0.9677135806263958,0.9819932955983237,0.9906080405634502,0.9955328705098675,0.9980323598941154,0.9992025631225552,0.9997074491928901,0.9999015842906958,0.9999676441503658,0.9999946073583943,0.9999993259197992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5382536524507893e-07,3.5382536524507893e-07,3.5382536524507893e-07,4.245904382940947e-06,9.90711022686221e-06,1.8752744357989183e-05,4.0336091637939e-05,8.597956375455417e-05,0.00017832798408351977,0.00033011906577365863,0.0005915960106897719,0.0010066331641222495,0.0016463494244853521,0.0026289224637709363,0.0040187484984536065,0.0060596132051872215,0.008749393631780312,0.01235664323045389,0.016890915286069577,0.022488432564246725,0.029507266334613355,0.03761765135676105,0.04688575297399065,0.057087245904736766,0.06849032977585517,0.0808441424033871,0.09430648990023187,0.10921916756921621,0.12642286447816242,0.1468173585308888,0.1715929182560797,0.20195007311801172,0.2392860794840377,0.2845874024724609,0.3382213128124057,0.4000639716260363,0.4687099845625993,0.5422076509074029,0.61796272308247,0.6925215116976435,0.7619792000220788,0.8239750652188604,0.8761480306257083,0.91702936715149,0.9475726341555409,0.9687140535542996,0.9825118274973967,0.9908861662420173,0.9955343700652418,0.9979633811976494,0.9991186210151745,0.9996532511420598,0.99987722259826,0.9999575409561706,0.9999858469853902,0.9999946926195213,0.9999989385239043,0.9999996461746348,0.9999996461746348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9610838596718988e-07,1.9610838596718988e-07,3.9221677193437977e-07,1.764975473704709e-06,3.529950947409418e-06,6.863793508851646e-06,1.3335370245768913e-05,2.9220149509111293e-05,5.8636407404189776e-05,0.00011707670642241236,0.00021375814070423698,0.00039241288032034697,0.0006797116657622802,0.0011172294748550808,0.0017694859665819543,0.0027190427714350878,0.004118472213696955,0.006033470602666564,0.008618375238100094,0.012009089231472807,0.016316609929242134,0.021712139952357427,0.028321776992995595,0.03615866031301644,0.0451770966584896,0.05542513258397704,0.06679490847719681,0.07927073566727152,0.09307245165487042,0.10846519497782112,0.12610534040395582,0.14656983880479,0.17109417301191693,0.20080008299306895,0.23711680666517493,0.2807093475650496,0.3320913135555411,0.3911630815765781,0.45698274305036,0.5275747020966536,0.6004850544818513,0.6731355632556424,0.7418397829786157,0.8039484854647406,0.8573323258591852,0.9008803501554453,0.9345972649547842,0.959122971920613,0.9759378932585977,0.986706793057214,0.993138755900166,0.9967147923182776,0.9985635060727903,0.9994093215414668,0.9997770247651553,0.9999241060546307,0.999976074776912,0.999994116748421,0.9999990194580701,0.999999607783228,0.999999803891614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1206741975972745e-07,1.1206741975972745e-07,4.482696790389098e-07,6.724045185583647e-07,1.6810112963959119e-06,2.3534158149542764e-06,4.370629370629371e-06,8.85332616101847e-06,1.7370450062757754e-05,2.8801326878249956e-05,5.401649632418863e-05,9.929173390711852e-05,0.00018199748968979738,0.00031289223596915903,0.0005325443786982248,0.0008877980993365609,0.0014230320961090193,0.002229469248700018,0.003364712210866057,0.004955733369194908,0.007123677604446836,0.009972879684418146,0.013690716334947103,0.018364600143446298,0.024151089295320064,0.031108122646584184,0.03921933835395374,0.048455935090550475,0.058920006275775504,0.07038719293526986,0.08298144163528778,0.09683712121212121,0.11231430428545813,0.12982954545454545,0.15027983234714004,0.17476051192397346,0.20436200017930786,0.24034606419221805,0.2833061009503317,0.33410435718128023,0.3922855029585799,0.4572660032275417,0.5270982383001613,0.5993563968083199,0.6714042047695894,0.7398898377263762,0.8020467993544916,0.8555621301775148,0.8994847140039448,0.9335669939035324,0.9583917204590282,0.97546171776941,0.9863830240272548,0.992866124260355,0.9965314012910167,0.9984549264837727,0.9993532589205666,0.9997507620584544,0.9999199838622915,0.9999763537744307,0.9999940604267528,0.9999991034606419,0.9999997758651605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.277412513957787e-08,3.310965005583115e-07,1.324386002233246e-06,2.8970943798852255e-06,5.46309225921214e-06,1.1340055144122168e-05,1.9120822907242487e-05,3.2944101805551993e-05,5.61208568446338e-05,9.485914740995624e-05,0.00016165786639759557,0.0002696780997047447,0.0004365507359861337,0.0007090431559456241,0.0011265558431496547,0.0017205429651512656,0.002602252946138049,0.003840471084100994,0.005545783610226578,0.007811145867046545,0.010848128518417656,0.014719474351195713,0.019559774092857668,0.025450974127291706,0.03250597836118821,0.04071212235340082,0.05010077749735744,0.060569800522635824,0.07210263660420807,0.08471484727760041,0.09866932316425614,0.11428333748583527,0.13210973862414505,0.15299033943185497,0.17781951433109816,0.20755744317349373,0.24339930155193207,0.28603815721620685,0.3358466592776964,0.39278176519132824,0.45605885902490423,0.5240111182204887,0.5945604983664526,0.665027683806153,0.7322748730037985,0.7938533590153852,0.8474564752956485,0.8918176121817024,0.9267936532111808,0.9528158515760607,0.9711542106783588,0.9832341009529785,0.9908296202240364,0.9952511656666173,0.9976932506806102,0.9989582048609933,0.999555834044501,0.9998236911134527,0.9999344428928895,0.9999793892428402,0.9999927158769877,0.9999977650986213,0.999999420581124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7718588519622675e-08,1.1543717703924535e-07,2.8859294259811336e-07,6.349044737158494e-07,9.812160048335855e-07,1.616120478549435e-06,2.7704922489418886e-06,5.887296029001513e-06,1.0273908756492837e-05,1.7315576555886803e-05,3.001366603020379e-05,5.131182519394456e-05,8.790541031538534e-05,0.00014395015976793895,0.000233125379030756,0.00037511310678902776,0.000591673250914652,0.0009225739188976488,0.001407467781050999,0.0021151553948900925,0.0031210172370215567,0.004505743894195825,0.00640006796940984,0.008888835787787451,0.012107743750938288,0.01619508559695537,0.021240036545101506,0.02736703787222501,0.03456264114720081,0.0428862387976156,0.05230926012215216,0.06277450599958755,0.07435458641427944,0.08692194328559949,0.10074127406049867,0.11619548385521615,0.13374043408187994,0.1541549793739738,0.17836833128807514,0.2073547795983952,0.24226604102025454,0.283913523471062,0.33268532674002355,0.3884754217800286,0.45067025999511356,0.517622956899048,0.5875532980661213,0.6575889179386545,0.7248703799227968,0.7868548338827277,0.8413348324005143,0.8867253653168193,0.9226432966410494,0.9497156811188817,0.9689307187043609,0.9818060042454331,0.9899297224238044,0.9947265988784932,0.9974059534761626,0.9988154991264003,0.999486708592295,0.9997913473025015,0.9999216758753788,0.9999737380422236,0.9999908227444254,0.9999968254776315,0.9999986147538755,0.9999997691256459,0.999999884562823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.596241763419854e-08,9.192483526839707e-08,2.7577450580519124e-07,9.192483526839708e-07,1.8384967053679417e-06,3.8148806636384786e-06,6.94032506276398e-06,1.2134078255428414e-05,2.036135101194995e-05,3.557491124886967e-05,5.66716609429668e-05,9.013230098066334e-05,0.0001450573900535306,0.00022392889871381528,0.0003495441861080799,0.0005315553599395061,0.0007928057417722906,0.0011735584094539912,0.001722809300182664,0.002489646275991632,0.0035591917343394323,0.004997447706948773,0.006928328871761454,0.009419813644458454,0.012605560735520023,0.016622308337407903,0.02154198763371961,0.027473621479083467,0.03447567406873018,0.042588684255013096,0.05173120663388443,0.06193086461834233,0.07317028441452107,0.085581102386525,0.09924439623906083,0.11452864667430195,0.1320998950861855,0.15244929586955058,0.17662060956645215,0.20567804999479244,0.2404423680462654,0.2818056023223155,0.3302270552623613,0.3855114325538751,0.4469908543062143,0.5132730729268214,0.5822543425981617,0.6513562636157917,0.717999333177245,0.7793993778343299,0.8336200468945355,0.8793602822018903,0.9160791061008399,0.944156260085878,0.9645382022609281,0.978550167013637,0.9876689727850091,0.9933174781377463,0.9965828321361503,0.9983568895319951,0.9992604647002657,0.9996926952756977,0.9998827958350328,0.9999588636362174,0.9999858895377863,0.999996736668348,0.9999993565261531,0.9999997701879119,0.9999999540375824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
